body,Asker,Answered,Answered by,,
"I suggest we add a dependency on BYTEMAN-190 for this task. Amos, if you agree, can you add the dependency please? More Actions -> Link -> Depends on",Tom Jenkinson ,1,Amos Feng,,
Please can you add an estimate for this issue?,Tom Jenkinson ,,,,
"Paul, can I delete XTS/localjunit/crash-recovery-tests/check.sh as now we can use maven plugin to check rule ?",Amos Feng ,,,,
Mark I'm not clear on this one. The effective default timeout appears to be 0 regardless of which TransactionManagerImple is used. Am I missing something?,Jonathan Halliday ,1,Mark Little,,
I've just added 4.17.4 to the fix version. Can you cherry-pick your commit from master and raise a pull request on 4.17?,Paul Robinson ,,,,
"A better solution would be to have this problem detected in the AS7 testsuite. This would prevent the error from even being accepted into the AS7 codebase. Ivo, can this type of check be made in the allTests junit suite?",Paul Robinson ,1,Tom Jenkinson ,Who ever makes a change to src/main/resources/standalone/configuration/*xml should be made aware that they should also update src/main/resources/docs/examples/config/*xml,Corelate to RQ3: large size + low coherent
"I would add that I believe this issue can be (not formally, but effectively) resolved through education. Who ever makes a change to src/main/resources/standalone/configuration/*xml should be made aware that they should also update src/main/resources/docs/examples/config/*xml This issue should affect: ./messaging/src/test/resources/standalone-with-messaging.xml ./modcluster/src/test/resources/standalonemodcluster.xml ./build/src/main/resources/docs/examples/configs/standalone-hornetq-colocated.xml ./build/src/main/resources/docs/examples/configs/standalone-xts.xml ./build/src/main/resources/docs/examples/configs/standalone-minimalistic.xml ./build/src/main/resources/docs/examples/configs/standalone-jts.xml ./build/src/main/resources/docs/examples/configs/standalone-osgi-only.xml So I see it as broader than XTS. That said, +1 on checking whether the testsuite can detect it, but I don't know if the other configs are tested during testsuite.",,,,,
"PS, shouldn't this issue be moved to an AS7 Jira?",Tom Jenkinson ,,,,
"Ivo, Of course, I forgot these tests would do this also. Do your tests fail if the server boots with errors, even though XTS is still functioning correctly? We still have the problem where a minor change is forgotten; one which doesn't break XTS and doesn't fail the server boot. However, these are relatively minor and could probably be checked manually every now and then.",Paul Robinson ,1,Ivo Studensky ,,
Can this be moved to an AS7 Jira?,Tom Jenkinson ,1,Paul Robinson ,Not change to another project,
"Sure, but can we re-open issues like this in AS7 project do you think?",Tom Jenkinson ,,,,
"Is this still required? We could do with a better description to explain the actual motivation or leave this closed as ""incomplete description"".",Tom Jenkinson ,,,,
"1. (Slightly unrelated) can we move the XTS demo to quickstarts/? 2. (on topic) Is the idea that the user builds upon the XTS demo or is the restaurant service used for hack/simplicity? If the idea is that we build upon the XTS demo then I think that the dependency (assuming XTS demo is moved to quickstarts) is OK, if the restaurant service is however used out of convenience and the XTS demo is not referenced in any way in associated meta-data (README.md etc) then I think it is a good idea to duplicate the code in the TXBridge demo and break the dependency.",Tom Jenkinson ,1,Paul Robinson,,
"I just put this on HORNETQ-274: Hi I just trawled the the Jira and forum postings I ls'd my .m2/repository/org/hornetq find . -name \pom.xml in the AS7 version of hornetq but can't find the dependency to import for this. Do you know that this work was done? If so, do you happen to know what I should replace: <dependency> <groupId>org.hornetq</groupId> <artifactId>hornetq-core</artifactId> </dependency> with? I also can't find it by grepping the internet, e.g. http://mvnrepository.com/artifact/org.hornetq",Carlo de Wolf,1,Tom Jenkinson,Corelate to RQ3: large size & high coherence,
"Hi Amos, Please can you backport this to the branch? Thanks! Tom",Tom Jenkinson ,1,Amos Feng,,
"Amos, {quote} and now jboss-as version is 7.1.2.SNAPSHOT and jbossts version is 4.16.2.Final {quote} What do you mean by this?",Tom Jenkinson ,1,Amos Feng,,
"Hi, I have updated the config on the jobs to use this new script thanks Amos! Paul, please can you give Amos a pointer on the xts commands? Tom",Tom Jenkinson ,,,,
"Paul, I checkout 5_BRANCH on jboss-as and build fail with following: [ERROR] Failed to execute goal on project jboss-as-transactions: Could not resolve dependencies for project org.jboss.as:jboss-as-transactions:jar:7.1.1.Final: The following artifacts could not be resolved: org.jboss.jbossts:jbossjts:jar:5.0.0.M2-SNAPSHOT, org.jboss.jbossts:jbossjts-integration:jar:5.0.0.M2-SNAPSHOT: Failure to find org.jboss.jbossts:jbossjts:jar:5.0.0.M2-SNAPSHOT in http://repository.jboss.org/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of jboss-public-repository-group has elapsed or updates are forced It looks like we should change groupId from ""org.jboss.jbossts"" to ""org.jboss.narayana"" can you confirm this change? Amos",Amos Feng,1,Tom Jenkinson,,
"Amos, Can you give us an update on when this will be ported to the 4.16 branch?",Paul Robinson,,,,
"Paul, I ran these test commands on my machine and it failed with <testcase classname=""com.arjuna.qa.junit.LocalJUnitRunner"" name=""testCallServlet"" time=""0.01""> <error message=""org/apache/commons/logging/LogFactory"" type=""java.lang.NoClassDefFoundError"">java.lang.NoClassDefFoundError: org/apache/commons/logging/LogFactory at org.apache.commons.httpclient.HttpClient.&lt;clinit&gt;(Unknown Source) at com.arjuna.qa.junit.HttpUtils.accessURL(HttpUtils.java:97) at com.arjuna.qa.junit.LocalJUnitRunner.testCallServlet(LocalJUnitRunner.java:40) Caused by: java.lang.ClassNotFoundException: org.apache.commons.logging.LogFactory at java.net.URLClassLoader$1.run(URLClassLoader.java:202) at java.security.AccessController.doPrivileged(Native Method) at java.net.URLClassLoader.findClass(URLClassLoader.java:190) at java.lang.ClassLoader.loadClass(ClassLoader.java:306) at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:301) at java.lang.ClassLoader.loadClass(ClassLoader.java:247) </error> </testcase> did I miss some jars ?",Amos Feng,1,Paul Robinson,,
