body,Asker,Answered,Answered by
[~bolke] Any though on that this (the corresponding PR is https://github.com/apache/incubator-airflow/pull/2444)  We are trying to switch from Oozie to Airflow at Booking.com and would really need this feature (or maybe there's already a way to achieve this) for us to go forward with the migration.,Raphael Lopez kaufman,,
"[~bolke] thanks for your feedback, would you have time to have a quick look at this ticket too: https://issues.apache.org/jira/browse/AIRFLOW-1398?",Raphael Lopez kaufman,,
"I'm particularly interested in thoughts from [~alexvanboxel], [~wwlian], and [~fenglu]",Peter Dolan,1,"Feng Lu, Wilson Lian"
"SGTM, maybe we can include other standardization efforts on GCP operators as well (see https://issues.apache.org/jira/browse/AIRFLOW-820 )? Let's also make sure to do it in a backwards-compatible way and not break any existing DAGs that depend on an older version of these operators.",Feng Lu,1,Peter Dolan
[~bolke] Any though on that this (the corresponding PR is https://github.com/apache/incubator-airflow/pull/2431)  We are trying to switch from Oozie to Airflow at Booking.com and would really need this feature (or maybe there's already a way to achieve this) for us to go forward with the migration.,Raphael Lopez kaufman,,
"[~bolke] I implemented your suggestion, would you mind reviewing?",Raphael Lopez kaufman,,
"To be clear, are you planning to REMOVE support for S3/GCS? We are heavy users of GCS for logging, and this would be a show stopper for us.",Chris Riccomini,1,Allison Wang & Chris Riccomini
"It was exactly the same sort of thinking on my side.     Good point about the logs. It was sort of design decision as we capture all logs centrally in ELK so we had no need to stream the logs to airflow as such. It is not hard to add though.     Also regarding your comment that it would be more powerful if you can supply a pod definition directly - thats another decision to hide the pod definition as such to make deployment of simple jobs simpler. I have a version where you can give a pod definition instead in case you need to do something complex, but for most jobs we have we just have an image (often with default command) and we dont want to force people to learn yet another library just to run a simple command.     Do you mind collaborating to get out something nice and useful to everybody?",Michal Dziemianko,1,Dennis Doctor
"[~aoen], changing this to blocker for 1.8.1. LMK if you don't think we should block the release on it.",Chris Riccomini,1,Dan Davydov
Was this confirmed yet?,Bolke de Bruin,1,Dan Davydov 
It seems like the commit was reverted but I'm not sure if testing was done: https://github.com/apache/incubator-airflow/pull/2195? If not I can try to take a look soon but just wanted to confirm first [~bolke],Dan Davyov,,
Please review my Pull Request #2149:  https://github.com/apache/incubator-airflow/pull/2149,Chris Sng,1,Jeremiah Lowin
verify_integrity in models.py is where you would like to look at. As mentioned it sets a state to REMOVED if a task instance does not have a corresponding task in a DAG. It is there for auditing and versioning reasons. Does it affect running anything? A changed DAG cannot have a dependency on a non existent task.    Ie. please explain why this is a blocker.,Bolke de Bruin,1,Dan Davydov
"Command:  {quote}airflow backfill teztg -t create_and_transfer_roster -s 2017-06-14 -e 2017-06-14{quote}    DAG:  {code}  import airflow  from airflow.executors import SequentialExecutor  from airflow.operators.dummy_operator import DummyOperator  from airflow.operators.python_operator import PythonOperator  from airflow.operators.subdag_operator import SubDagOperator  from airflow.models import DAG  from datetime import datetime, timedelta    default_args = {      'owner': 'airflow',      'start_date': datetime(2016, 3, 15),  }    dag = DAG('teztg', default_args=default_args)      subdag = DAG('teztg.create_and_transfer_roster', default_args=default_args)    subdag_operator = SubDagOperator(task_id='create_and_transfer_roster',                                   subdag=subdag,                                   executor=SequentialExecutor(),                                   dag=dag)    def create_roster(ds, macros, **kwargs):      pass      PythonOperator(      task_id='create_roster',      python_callable=create_roster,      dag=subdag,      provide_context=True)    first_task = DummyOperator(task_id=""first_task"", dag=dag)  {code}    Expected:  first_task TI does not change (stays as none)  create_and_transfer_roster TI is run    Actual:  first_task TI gets its state set to removed  create_and_transfer_roster TI is not run, backfill errors with airflow.exceptions.AirflowException: Task first_task not found    [~bolke] if you think these are related to your changes (addition of task.REMOVED state/backfill changes) do you mind taking a look? Otherwise let me know and I can do so.",Dan Davydov,1,Bolke de Bruin
