body,Asker,Answered,Answered by
"GitHub user lewismc opened a pull request:        https://github.com/apache/any23/pull/30        ANY23-297 Any23 doesn't build under JDK1.8        This issue addresses https://issues.apache.org/jira/browse/ANY23-297      @ansell can you please check how this affects your open pull request? Do you have any objections to merging this into master branch? Thanks    You can merge this pull request into a Git repository by running:        $ git pull https://github.com/lewismc/any23 ANY23-297    Alternatively you can review and apply these changes as the patch at:        https://github.com/apache/any23/pull/30.patch    To close this pull request, make a commit to your master/trunk branch  with (at least) the following in the commit message:        This closes #30        ----  commit bb55685859a26b36ca4a9893bb93aa9eb7687b8c  Author: Lewis John McGibbney <lewis.mcgibbney@gmail.com>  Date:   2016-11-25T21:33:57Z        ANY23-297 Any23 doesn't build under JDK1.8    ----  ",ASF GitHub Bot,,
"Github user lewismc commented on the issue:        https://github.com/apache/any23/pull/30          Hi @ansell any objections to merging into master branch? Seems the like the semargl issues are progressing which is great, however I don't think that should block us here in Any23. I'll commit by CoB today unless there are objections. Thanks  ",ASF GitHub Bot,1,ASF GitHub Bot
"I agree [~thomas.francart], are you working off of master branch? If so, are you able to provide us with a patch and a test case if possible?",Lewis John McGibbney,1,Thomas Francart
Github user lewismc commented on the pull request:        https://github.com/apache/any23/pull/24#issuecomment-212761670          Anyone get a chance to take a look at this? This is THE critical issue for Any23 to address right now IMHO.  ,,,
"Github user ansell commented on the issue:        https://github.com/apache/any23/pull/24          There are a large number of whitespace modifications to change from tabs to 2-space indentation. Is 2-space indentation what Any23 is aiming for, given that most java code is either tab or 4-space indentation.  ",,,
"Github user ansell commented on the issue:        https://github.com/apache/any23/pull/27          I rebased this to fix the conflicts. There are some test failures, some of which I @Ignore'd while other I left so far. Could you have a look in to see if you can figure out why the tests that have been ignored or still failing are broken?  ",,,
Github user lewismc commented on the issue:        https://github.com/apache/any23/pull/27          Hi @ansell whats the current state of this patch? Thanks for merging in the PR.  ,,,
Github user lewismc commented on the issue:        https://github.com/apache/any23/pull/27          Hi @ansell this is starting to look REALLY good. I've pulled your suggestions. I did notice that the appassembler is still generated in the core/target/appassembler. I think that this can be removed based upon the suggestion for CLI to be modularized as you've implemented.      Is there anything else you want to add to this patch? If not then I suggest we merge into master.   ,,,
[~p_ansell] is this the issue which is leading to the unstable builds?,Lewis John McGibbney,1,Peter Ansell
"bq. There also appear to be a changed (lower, unless the junit assertEquals was applied backwards) number of extractors than expected.    Hi [~p_ansell] what do you mean by this :(",Lewis John McGibbney,1,Peter Ansell
